i: 5, j: 5, k: 5, learn: 0.01, lambda: 1, h1: Tanh(), h2: Tanh()
Epoch: 32 	Training Cost: 12541.655273	 Val Cost: 274252.619061	 Valid Acc: 0.6879762912785775
Epoch: 33 	Training Cost: 12473.647461	 Val Cost: 272590.387351	 Valid Acc: 0.6855771944679651
Epoch: 34 	Training Cost: 12457.342773	 Val Cost: 270276.885926	 Valid Acc: 0.6917866215071973
Epoch: 35 	Training Cost: 12381.224609	 Val Cost: 268236.775260	 Valid Acc: 0.6941857183178097
Epoch: 36 	Training Cost: 12338.364258	 Val Cost: 266152.655647	 Valid Acc: 0.6937623482924076
Epoch: 37 	Training Cost: 12290.714844	 Val Cost: 264808.680978	 Valid Acc: 0.6960203217612193
Epoch: 38 	Training Cost: 12258.854492	 Val Cost: 262827.957374	 Valid Acc: 0.6977138018628282
Epoch: 39 	Training Cost: 12224.041992	 Val Cost: 261614.678117	 Valid Acc: 0.6971493084956252
Epoch: 40 	Training Cost: 12197.114258	 Val Cost: 260257.574903	 Valid Acc: 0.6971493084956252
Epoch: 41 	Training Cost: 12177.386719	 Val Cost: 259259.154536	 Valid Acc: 0.698278295230031
Epoch: 42 	Training Cost: 12194.740234	 Val Cost: 258348.040829	 Valid Acc: 0.6994072819644369
Epoch: 43 	Training Cost: 12200.516602	 Val Cost: 257258.966627	 Valid Acc: 0.6999717753316399
Epoch: 44 	Training Cost: 12286.108398	 Val Cost: 257494.452872	 Valid Acc: 0.6979960485464296
Epoch: 45 	Training Cost: 12249.767578	 Val Cost: 255873.662127	 Valid Acc: 0.6998306519898391
Epoch: 46 	Training Cost: 12255.186523	 Val Cost: 255050.016439	 Valid Acc: 0.7001128986734406
Epoch: 47 	Training Cost: 12234.715820	 Val Cost: 254325.365020	 Valid Acc: 0.7016652554332486
Epoch: 48 	Training Cost: 12215.487305	 Val Cost: 253513.967643	 Valid Acc: 0.7012418854078465
Epoch: 49 	Training Cost: 12212.888672	 Val Cost: 253087.920529	 Valid Acc: 0.703076488851256
Epoch: 50 	Training Cost: 12197.269531	 Val Cost: 252269.850899	 Valid Acc: 0.7025119954840531
Epoch: 51 	Training Cost: 12227.203125	 Val Cost: 252068.534790	 Valid Acc: 0.7015241320914479
Epoch: 52 	Training Cost: 12157.304688	 Val Cost: 251215.463076	 Valid Acc: 0.7027942421676545
Epoch: 53 	Training Cost: 12148.412109	 Val Cost: 251340.766167	 Valid Acc: 0.698842788597234
Epoch: 54 	Training Cost: 12151.563477	 Val Cost: 250232.351667	 Valid Acc: 0.7023708721422524
Epoch: 55 	Training Cost: 12151.278320	 Val Cost: 250180.158620	 Valid Acc: 0.7002540220152413
Epoch: 56 	Training Cost: 12120.721680	 Val Cost: 249321.780164	 Valid Acc: 0.7020886254586508
Epoch: 57 	Training Cost: 12155.804688	 Val Cost: 249021.649540	 Valid Acc: 0.7008185153824442
Epoch: 58 	Training Cost: 12119.939453	 Val Cost: 248399.227859	 Valid Acc: 0.7012418854078465
Epoch: 59 	Training Cost: 12131.937500	 Val Cost: 247983.483256	 Valid Acc: 0.7026531188258538
Epoch: 60 	Training Cost: 12093.604492	 Val Cost: 247510.887553	 Valid Acc: 0.7011007620660458
Epoch: 61 	Training Cost: 12110.657227	 Val Cost: 247372.472154	 Valid Acc: 0.7033587355348575
Epoch: 62 	Training Cost: 12117.201172	 Val Cost: 246900.411257	 Valid Acc: 0.7015241320914479
Epoch: 63 	Training Cost: 12101.634766	 Val Cost: 246434.231227	 Valid Acc: 0.7022297488004516
Epoch: 64 	Training Cost: 12103.708008	 Val Cost: 245942.455492	 Valid Acc: 0.7009596387242449
Epoch: 65 	Training Cost: 12070.798828	 Val Cost: 245306.084616	 Valid Acc: 0.7016652554332486
Epoch: 66 	Training Cost: 12070.393555	 Val Cost: 244982.039669	 Valid Acc: 0.7009596387242449
Epoch: 67 	Training Cost: 12065.848633	 Val Cost: 244767.773022	 Valid Acc: 0.7009596387242449
Epoch: 68 	Training Cost: 12067.041016	 Val Cost: 244297.145545	 Valid Acc: 0.703076488851256
Epoch: 69 	Training Cost: 12058.844727	 Val Cost: 243850.102823	 Valid Acc: 0.6995484053062376
i: 10, j: 10, k: 10, learn: 0.01, lambda: 1, h1: Tanh(), h2: Tanh()
Epoch: 0 	Training Cost: 14355.341797	 Val Cost: 373879.226153	 Valid Acc: 0.5222974880045159
Epoch: 1 	Training Cost: 14176.477539	 Val Cost: 369286.667084	 Valid Acc: 0.5444538526672311
Epoch: 2 	Training Cost: 13980.734375	 Val Cost: 363917.190626	 Valid Acc: 0.5625176404177251
Epoch: 3 	Training Cost: 13741.756836	 Val Cost: 357256.197312	 Valid Acc: 0.5825571549534293
Epoch: 4 	Training Cost: 13457.226562	 Val Cost: 349778.776279	 Valid Acc: 0.5928591589048828
Epoch: 5 	Training Cost: 13174.098633	 Val Cost: 343134.551479	 Valid Acc: 0.6054191363251482
Epoch: 6 	Training Cost: 12949.645508	 Val Cost: 338386.044055	 Valid Acc: 0.6133220434659893
Epoch: 7 	Training Cost: 12802.176758	 Val Cost: 335356.026772	 Valid Acc: 0.6188258537962179
Epoch: 8 	Training Cost: 12722.467773	 Val Cost: 333426.583303	 Valid Acc: 0.6215071972904318
Epoch: 9 	Training Cost: 12702.940430	 Val Cost: 331763.675566	 Valid Acc: 0.6217894439740334
Epoch: 10 	Training Cost: 12771.016602	 Val Cost: 327523.495598	 Valid Acc: 0.6229184307084392
Epoch: 11 	Training Cost: 12858.423828	 Val Cost: 320550.122987	 Valid Acc: 0.6298334744566751
Epoch: 12 	Training Cost: 13091.011719	 Val Cost: 314424.682539	 Valid Acc: 0.6416878351679368
Epoch: 13 	Training Cost: 13146.295898	 Val Cost: 310656.610563	 Valid Acc: 0.6525543324865933
Epoch: 14 	Training Cost: 13854.442383	 Val Cost: 310497.007413	 Valid Acc: 0.6466271521309624
Epoch: 15 	Training Cost: 13631.681641	 Val Cost: 302665.776070	 Valid Acc: 0.6543889359300028
Epoch: 16 	Training Cost: 13579.303711	 Val Cost: 300333.585646	 Valid Acc: 0.6549534292972058
Epoch: 17 	Training Cost: 13473.683594	 Val Cost: 295785.000418	 Valid Acc: 0.6614451030200396
Epoch: 18 	Training Cost: 13400.177734	 Val Cost: 293739.236009	 Valid Acc: 0.6679367767428732
